experiment,warehouse,random_seed,horizon_start,horizon_end,workstationsperpartition
201,3,32505,5400,6300,2
202,3,74550,6300,7200,2
203,3,16766,7200,8100,2
204,3,65046,8100,9000,2
205,3,45890,9000,9900,2
206,3,15416,3600,4500,2
207,3,23838,4500,5400,2
208,3,41778,5400,6300,2
209,3,92013,6300,7200,2
210,3,42682,7200,8100,2
211,3,9405,5400,6300,2
212,3,32289,6300,7200,2
213,3,11367,7200,8100,2
214,3,81385,8100,9000,2
215,3,47623,9000,9900,2
216,3,46030,3600,4500,2
217,3,5715,4500,5400,2
218,3,27235,5400,6300,2
219,3,46879,6300,7200,2
220,3,52825,7200,8100,2
221,3,52424,5400,6300,2
222,3,85341,6300,7200,2
223,3,21774,7200,8100,2
224,3,52542,8100,9000,2
225,3,57791,9000,9900,2
226,3,12055,3600,4500,2
227,3,17514,4500,5400,2
228,3,56725,5400,6300,2
229,3,35800,6300,7200,2
230,3,64358,7200,8100,2
231,3,67002,5400,6300,2
232,3,96878,6300,7200,2
233,3,5574,7200,8100,2
234,3,76005,8100,9000,2
235,3,514,9000,9900,2
236,3,2545,3600,4500,2
237,3,2423,4500,5400,2
238,3,27211,5400,6300,2
239,3,59300,6300,7200,2
240,3,71909,7200,8100,2
241,3,75172,5400,6300,2
242,3,56315,6300,7200,2
243,3,16053,7200,8100,2
244,3,83433,8100,9000,2
245,3,32975,9000,9900,2
246,3,21918,3600,4500,2
247,3,57725,4500,5400,2
248,3,34724,5400,6300,2
249,3,88893,6300,7200,2
250,3,56622,7200,8100,2
251,3,70097,5400,6300,2
252,3,62771,6300,7200,2
253,3,54549,7200,8100,2
254,3,35489,8100,9000,2
255,3,43598,9000,9900,2
256,3,54841,3600,4500,2
257,3,65505,4500,5400,2
258,3,12086,5400,6300,2
259,3,29046,6300,7200,2
260,3,80737,7200,8100,2
261,3,16320,5400,6300,2
262,3,49937,6300,7200,2
263,3,70384,7200,8100,2
264,3,74488,8100,9000,2
265,3,76114,9000,9900,2
266,3,63386,3600,4500,2
267,3,49901,4500,5400,2
268,3,24329,5400,6300,2
269,3,53282,6300,7200,2
270,3,79349,7200,8100,2
271,3,36051,5400,6300,2
272,3,8475,6300,7200,2
273,3,51690,7200,8100,2
274,3,28691,8100,9000,2
275,3,60547,9000,9900,2
276,3,36060,3600,4500,2
277,3,2114,4500,5400,2
278,3,75119,5400,6300,2
279,3,4568,6300,7200,2
280,3,35554,7200,8100,2
281,3,85335,5400,6300,2
282,3,7552,6300,7200,2
283,3,97226,7200,8100,2
284,3,87532,8100,9000,2
285,3,90520,9000,9900,2
286,3,93873,3600,4500,2
287,3,16829,4500,5400,2
288,3,85708,5400,6300,2
289,3,20664,6300,7200,2
290,3,6673,7200,8100,2
291,3,31038,5400,6300,2
292,3,38790,6300,7200,2
293,3,58468,7200,8100,2
294,3,37982,8100,9000,2
295,3,43086,9000,9900,2
296,3,34764,3600,4500,2
297,3,90999,4500,5400,2
298,3,25257,5400,6300,2
299,3,15174,6300,7200,2
300,3,62737,7200,8100,2
301,4,82725,8100,9000,3
302,4,68404,9000,9900,3
303,4,20451,3600,4500,3
304,4,93045,4500,5400,3
305,4,66067,5400,6300,3
306,4,45945,6300,7200,3
307,4,80181,7200,8100,3
308,4,69562,8100,9000,3
309,4,84403,9000,9900,3
310,4,48227,3600,4500,3
311,4,79553,8100,9000,3
312,4,72954,9000,9900,3
313,4,91231,3600,4500,3
314,4,76518,4500,5400,3
315,4,43691,5400,6300,3
316,4,80441,6300,7200,3
317,4,71232,7200,8100,3
318,4,39039,8100,9000,3
319,4,78600,9000,9900,3
320,4,45719,3600,4500,3
321,4,51991,8100,9000,3
322,4,55936,9000,9900,3
323,4,79123,3600,4500,3
324,4,44360,4500,5400,3
325,4,96055,5400,6300,3
326,4,63721,6300,7200,3
327,4,85342,7200,8100,3
328,4,57156,8100,9000,3
329,4,85768,9000,9900,3
330,4,79306,3600,4500,3
331,4,25422,8100,9000,3
332,4,58912,9000,9900,3
333,4,86076,3600,4500,3
334,4,92590,4500,5400,3
335,4,77183,5400,6300,3
336,4,34694,6300,7200,3
337,4,94802,7200,8100,3
338,4,9210,8100,9000,3
339,4,86895,9000,9900,3
340,4,17840,3600,4500,3
341,4,86512,8100,9000,3
342,4,86565,9000,9900,3
343,4,71286,3600,4500,3
344,4,60577,4500,5400,3
345,4,97764,5400,6300,3
346,4,35592,6300,7200,3
347,4,15687,7200,8100,3
348,4,39744,8100,9000,3
349,4,80971,9000,9900,3
350,4,78866,3600,4500,3
351,4,34187,8100,9000,3
352,4,34837,9000,9900,3
353,4,80222,3600,4500,3
354,4,77353,4500,5400,3
355,4,39599,5400,6300,3
356,4,88910,6300,7200,3
357,4,57528,7200,8100,3
358,4,14538,8100,9000,3
359,4,71310,9000,9900,3
360,4,95861,3600,4500,3
361,4,72526,8100,9000,3
362,4,41381,9000,9900,3
363,4,86194,3600,4500,3
364,4,83383,4500,5400,3
365,4,48513,5400,6300,3
366,4,96885,6300,7200,3
367,4,39838,7200,8100,3
368,4,62626,8100,9000,3
369,4,23921,9000,9900,3
370,4,37306,3600,4500,3
371,4,7634,8100,9000,3
372,4,8261,9000,9900,3
373,4,27580,3600,4500,3
374,4,74527,4500,5400,3
375,4,49176,5400,6300,3
376,4,83985,6300,7200,3
377,4,42286,7200,8100,3
378,4,97414,8100,9000,3
379,4,65548,9000,9900,3
380,4,82487,3600,4500,3
381,4,57857,8100,9000,3
382,4,15790,9000,9900,3
383,4,60910,3600,4500,3
384,4,8506,4500,5400,3
385,4,3367,5400,6300,3
386,4,11052,6300,7200,3
387,4,4282,7200,8100,3
388,4,51952,8100,9000,3
389,4,65085,9000,9900,3
390,4,32730,3600,4500,3
391,4,93165,8100,9000,3
392,4,56162,9000,9900,3
393,4,92508,3600,4500,3
394,4,62196,4500,5400,3
395,4,58810,5400,6300,3
396,4,19321,6300,7200,3
397,4,76909,7200,8100,3
398,4,55849,8100,9000,3
399,4,76408,9000,9900,3
400,4,7117,3600,4500,3
401,5,45611,4500,5400,3
402,5,16964,5400,6300,3
403,5,42402,6300,7200,3
404,5,41454,7200,8100,3
405,5,59582,8100,9000,3
406,5,75337,9000,9900,3
407,5,93874,3600,4500,3
408,5,18031,4500,5400,3
409,5,16481,5400,6300,3
410,5,46955,6300,7200,3
411,5,15446,4500,5400,3
412,5,65370,5400,6300,3
413,5,71885,6300,7200,3
414,5,31918,7200,8100,3
415,5,15010,8100,9000,3
416,5,5638,9000,9900,3
417,5,62414,3600,4500,3
418,5,47954,4500,5400,3
419,5,5151,5400,6300,3
420,5,85518,6300,7200,3
421,5,13028,4500,5400,3
422,5,18306,5400,6300,3
423,5,28470,6300,7200,3
424,5,29422,7200,8100,3
425,5,8273,8100,9000,3
426,5,89361,9000,9900,3
427,5,31706,3600,4500,3
428,5,2738,4500,5400,3
429,5,87307,5400,6300,3
430,5,4332,6300,7200,3
431,5,94441,4500,5400,3
432,5,20786,5400,6300,3
433,5,43811,6300,7200,3
434,5,25207,7200,8100,3
435,5,88551,8100,9000,3
436,5,28093,9000,9900,3
437,5,70021,3600,4500,3
438,5,70423,4500,5400,3
439,5,70908,5400,6300,3
440,5,15701,6300,7200,3
441,5,89177,4500,5400,3
442,5,15817,5400,6300,3
443,5,4612,6300,7200,3
444,5,82209,7200,8100,3
445,5,56073,8100,9000,3
446,5,65474,9000,9900,3
447,5,47174,3600,4500,3
448,5,763,4500,5400,3
449,5,30483,5400,6300,3
450,5,78568,6300,7200,3
451,5,95282,4500,5400,3
452,5,78071,5400,6300,3
453,5,61139,6300,7200,3
454,5,79978,7200,8100,3
455,5,41691,8100,9000,3
456,5,55560,9000,9900,3
457,5,15499,3600,4500,3
458,5,65594,4500,5400,3
459,5,94098,5400,6300,3
460,5,33428,6300,7200,3
461,5,87922,4500,5400,3
462,5,24654,5400,6300,3
463,5,85976,6300,7200,3
464,5,34859,7200,8100,3
465,5,92277,8100,9000,3
466,5,63192,9000,9900,3
467,5,60851,3600,4500,3
468,5,39001,4500,5400,3
469,5,67669,5400,6300,3
470,5,15862,6300,7200,3
471,5,78777,4500,5400,3
472,5,21048,5400,6300,3
473,5,91644,6300,7200,3
474,5,32270,7200,8100,3
475,5,80445,8100,9000,3
476,5,55814,9000,9900,3
477,5,80459,3600,4500,3
478,5,65569,4500,5400,3
479,5,66810,5400,6300,3
480,5,25131,6300,7200,3
481,5,61386,4500,5400,3
482,5,22633,5400,6300,3
483,5,9432,6300,7200,3
484,5,69087,7200,8100,3
485,5,7695,8100,9000,3
486,5,85589,9000,9900,3
487,5,51216,3600,4500,3
488,5,24054,4500,5400,3
489,5,53850,5400,6300,3
490,5,81632,6300,7200,3
491,5,21435,4500,5400,3
492,5,82293,5400,6300,3
493,5,69455,6300,7200,3
494,5,81443,7200,8100,3
495,5,16070,8100,9000,3
496,5,98014,9000,9900,3
497,5,41399,3600,4500,3
498,5,45289,4500,5400,3
499,5,77558,5400,6300,3
500,5,43742,6300,7200,3
501,6,94450,7200,8100,3
502,6,77572,8100,9000,3
503,6,9286,9000,9900,3
504,6,50929,3600,4500,3
505,6,27017,4500,5400,3
506,6,91023,5400,6300,3
507,6,47339,6300,7200,3
508,6,49741,7200,8100,3
509,6,12396,8100,9000,3
510,6,88798,9000,9900,3
511,6,16835,7200,8100,3
512,6,58645,8100,9000,3
513,6,29845,9000,9900,3
514,6,55326,3600,4500,3
515,6,94663,4500,5400,3
516,6,12588,5400,6300,3
517,6,71665,6300,7200,3
518,6,32548,7200,8100,3
519,6,79695,8100,9000,3
520,6,60354,9000,9900,3
521,6,19133,7200,8100,3
522,6,9518,8100,9000,3
523,6,62637,9000,9900,3
524,6,41691,3600,4500,3
525,6,54991,4500,5400,3
526,6,29564,5400,6300,3
527,6,49492,6300,7200,3
528,6,95202,7200,8100,3
529,6,15282,8100,9000,3
530,6,20357,9000,9900,3
531,6,50199,7200,8100,3
532,6,68153,8100,9000,3
533,6,11145,9000,9900,3
534,6,56893,3600,4500,3
535,6,7629,4500,5400,3
536,6,1225,5400,6300,3
537,6,36727,6300,7200,3
538,6,60721,7200,8100,3
539,6,42842,8100,9000,3
540,6,8747,9000,9900,3
541,6,21055,7200,8100,3
542,6,92508,8100,9000,3
543,6,26552,9000,9900,3
544,6,52574,3600,4500,3
545,6,76694,4500,5400,3
546,6,49394,5400,6300,3
547,6,82797,6300,7200,3
548,6,75602,7200,8100,3
549,6,48417,8100,9000,3
550,6,21196,9000,9900,3
551,6,17891,7200,8100,3
552,6,22945,8100,9000,3
553,6,60160,9000,9900,3
554,6,27925,3600,4500,3
555,6,67085,4500,5400,3
556,6,47167,5400,6300,3
557,6,89516,6300,7200,3
558,6,8954,7200,8100,3
559,6,7534,8100,9000,3
560,6,730,9000,9900,3
561,6,98736,7200,8100,3
562,6,40983,8100,9000,3
563,6,19074,9000,9900,3
564,6,34031,3600,4500,3
565,6,71052,4500,5400,3
566,6,69025,5400,6300,3
567,6,48674,6300,7200,3
568,6,99737,7200,8100,3
569,6,46480,8100,9000,3
570,6,90366,9000,9900,3
571,6,47713,7200,8100,3
572,6,72829,8100,9000,3
573,6,78794,9000,9900,3
574,6,51619,3600,4500,3
575,6,42102,4500,5400,3
576,6,66672,5400,6300,3
577,6,45679,6300,7200,3
578,6,2309,7200,8100,3
579,6,91888,8100,9000,3
580,6,89568,9000,9900,3
581,6,98110,7200,8100,3
582,6,44594,8100,9000,3
583,6,71920,9000,9900,3
584,6,13211,3600,4500,3
585,6,1782,4500,5400,3
586,6,33944,5400,6300,3
587,6,33536,6300,7200,3
588,6,95889,7200,8100,3
589,6,19290,8100,9000,3
590,6,45679,9000,9900,3
591,6,20825,7200,8100,3
592,6,80697,8100,9000,3
593,6,96710,9000,9900,3
594,6,38032,3600,4500,3
595,6,48798,4500,5400,3
596,6,80391,5400,6300,3
597,6,8070,6300,7200,3
598,6,7348,7200,8100,3
599,6,13485,8100,9000,3
600,6,21161,9000,9900,3
